time,angle,velocity,input
1514.000000,0.990000,0.000000,24.000000
1525.000000,0.990000,0.000000,24.000000
1536.000000,0.990000,0.000000,24.000000
1547.000000,0.990000,0.000000,24.000000
1558.000000,0.990000,0.000000,24.000000
1569.000000,0.990000,0.000000,24.000000
1580.000000,0.990000,0.000000,24.000000
1591.000000,0.990000,0.000000,24.000000
1602.000000,0.990000,0.000000,24.000000
1613.000000,0.990000,0.000000,24.000000
1624.000000,0.990000,0.000000,24.000000
1635.000000,0.990000,0.000000,24.000000
1646.000000,0.990000,0.000000,24.000000
1657.000000,0.990000,0.000000,24.000000
1668.000000,0.990000,0.000000,24.000000
1679.000000,0.990000,0.000000,24.000000
1690.000000,0.990000,0.000000,24.000000
1701.000000,0.990000,0.000000,24.000000
1712.000000,0.990000,0.000000,24.000000
1723.000000,0.990000,0.000000,24.000000
1734.000000,0.990000,0.000000,24.000000
1745.000000,0.990000,0.000000,24.000000
1756.000000,0.990000,0.000000,24.000000
1767.000000,0.990000,0.000000,24.000000
1778.000000,0.990000,0.000000,24.000000
1789.000000,0.990000,0.000000,24.000000
1800.000000,0.990000,0.000000,24.000000
1811.000000,0.990000,0.000000,24.000000
1822.000000,0.990000,0.000000,24.000000
1833.000000,0.990000,0.000000,24.000000
1844.000000,0.990000,0.000000,24.000000
1855.000000,0.990000,0.000000,24.000000
1866.000000,0.990000,0.000000,24.000000
1877.000000,0.990000,0.000000,24.000000
1888.000000,0.990000,0.000000,24.000000
1899.000000,0.990000,0.000000,24.000000
1910.000000,0.990000,0.000000,24.000000
1921.000000,0.990000,0.000000,24.000000
1932.000000,0.990000,0.000000,24.000000
1943.000000,0.990000,0.000000,24.000000
1954.000000,0.990000,0.000000,24.000000
1965.000000,0.990000,0.000000,24.000000
1976.000000,0.990000,0.000000,24.000000
1987.000000,0.990000,0.000000,24.000000
1998.000000,0.990000,0.000000,24.000000
2009.000000,0.990000,0.000000,24.000000
2020.000000,0.990000,0.000000,24.000000
2031.000000,0.990000,0.000000,24.000000
2042.000000,0.990000,0.000000,24.000000
2053.000000,0.990000,0.000000,24.000000
2064.000000,0.990000,0.000000,24.000000
2075.000000,0.990000,0.000000,24.000000
2086.000000,0.990000,0.000000,24.000000
2097.000000,0.990000,0.000000,24.000000
2108.000000,0.990000,0.000000,24.000000
2119.000000,0.990000,0.000000,24.000000
2130.000000,0.990000,0.000000,24.000000
2141.000000,0.990000,0.000000,24.000000
2152.000000,0.990000,0.000000,24.000000
2163.000000,0.990000,0.000000,24.000000
2174.000000,0.990000,0.000000,24.000000
2185.000000,0.990000,0.000000,24.000000
2196.000000,0.990000,0.000000,24.000000
2207.000000,0.990000,0.000000,24.000000
2218.000000,0.990000,0.000000,24.000000
2229.000000,0.990000,0.000000,24.000000
2240.000000,0.990000,0.000000,24.000000
2251.000000,0.990000,0.000000,24.000000
2262.000000,0.990000,0.000000,24.000000
2273.000000,0.990000,0.000000,24.000000
2284.000000,0.990000,0.000000,24.000000
2295.000000,0.990000,0.000000,24.000000
2306.000000,0.990000,0.000000,24.000000
2317.000000,0.990000,0.000000,24.000000
2328.000000,0.990000,0.000000,24.000000
2339.000000,0.990000,0.000000,24.000000
2350.000000,0.990000,0.000000,24.000000
2361.000000,0.990000,0.000000,24.000000
2372.000000,0.990000,0.000000,24.000000
2383.000000,0.990000,0.000000,24.000000
2394.000000,0.990000,0.000000,24.000000
2405.000000,0.990000,0.000000,24.000000
2416.000000,0.990000,0.000000,24.000000
2427.000000,0.990000,0.000000,24.000000
2438.000000,0.990000,0.000000,24.000000
2449.000000,0.990000,0.000000,24.000000
2460.000000,0.990000,0.000000,24.000000
2471.000000,0.990000,0.000000,24.000000
2482.000000,0.990000,0.000000,24.000000
2493.000000,0.990000,0.000000,24.000000
2504.000000,0.990000,0.000000,24.000000
2515.000000,0.990000,0.000000,24.000000
2526.000000,0.990000,0.000000,24.000000
2537.000000,0.990000,0.000000,24.000000
2548.000000,0.990000,0.000000,24.000000
2559.000000,0.990000,0.000000,24.000000
2570.000000,0.990000,0.000000,24.000000
2581.000000,0.990000,0.000000,24.000000
2592.000000,0.990000,0.000000,24.000000
2603.000000,0.990000,0.000000,24.000000
2614.000000,0.990000,0.000000,24.000000
2625.000000,0.990000,0.000000,24.000000
2636.000000,0.990000,0.000000,24.000000
2647.000000,0.990000,0.000000,24.000000
2658.000000,0.990000,0.000000,24.000000
2669.000000,0.990000,0.000000,24.000000
2680.000000,0.990000,0.000000,24.000000
2691.000000,0.990000,0.000000,24.000000
2702.000000,0.990000,0.000000,24.000000
2713.000000,0.990000,0.000000,24.000000
2724.000000,0.990000,0.000000,24.000000
2735.000000,0.990000,0.000000,24.000000
2746.000000,0.990000,0.000000,24.000000
2757.000000,0.990000,0.000000,24.000000
2768.000000,0.990000,0.000000,24.000000
2779.000000,0.990000,0.000000,24.000000
2790.000000,0.990000,0.000000,24.000000
2801.000000,0.990000,0.000000,24.000000
2812.000000,0.990000,0.000000,24.000000
2823.000000,0.990000,0.000000,24.000000
2834.000000,0.990000,0.000000,24.000000
2845.000000,0.990000,0.000000,24.000000
2856.000000,0.990000,0.000000,24.000000
2867.000000,0.990000,0.000000,24.000000
2878.000000,0.990000,0.000000,24.000000
2889.000000,0.990000,0.000000,24.000000
2900.000000,0.990000,0.000000,24.000000
2911.000000,0.990000,0.000000,24.000000
2922.000000,0.990000,0.000000,24.000000
2933.000000,0.990000,0.000000,24.000000
2944.000000,0.990000,0.000000,24.000000
2955.000000,0.990000,0.000000,24.000000
2966.000000,0.990000,0.000000,24.000000
2977.000000,0.990000,0.000000,24.000000
2988.000000,0.990000,0.000000,24.000000
2999.000000,0.990000,0.000000,24.000000
3010.000000,0.990000,0.000000,24.000000
3021.000000,0.990000,0.000000,24.000000
3032.000000,0.990000,0.000000,24.000000
3043.000000,0.990000,0.000000,24.000000
3054.000000,0.990000,0.000000,24.000000
3065.000000,0.990000,0.000000,24.000000
3076.000000,0.990000,0.000000,24.000000
3087.000000,0.990000,0.000000,24.000000
3098.000000,0.990000,0.000000,24.000000
3109.000000,0.990000,0.000000,24.000000
