time,angle,velocity,input
28.000000,0.000000,0.000000,630.000000
40.000000,0.010000,0.930000,625.500000
51.000000,0.060000,4.080000,607.500000
62.000000,0.120000,6.120000,580.500000
73.000000,0.200000,7.140000,549.000000
84.000000,0.290000,8.160000,513.000000
95.000000,0.380000,8.160000,477.000000
106.000000,0.470000,8.160000,441.000000
117.000000,0.580000,10.200000,396.000000
128.000000,0.670000,8.160000,360.000000
139.000000,0.790000,10.200000,315.000000
150.000000,0.900000,10.200000,270.000000
161.000000,1.000000,9.180000,229.500000
172.000000,1.110000,10.200000,184.500000
183.000000,1.230000,11.220000,135.000000
194.000000,1.350000,10.200000,90.000000
205.000000,1.460000,10.200000,45.000000
216.000000,1.580000,11.220000,-4.500000
227.000000,1.690000,10.200000,-49.500000
238.000000,1.800000,9.180000,-90.000000
249.000000,1.900000,9.180000,-130.500000
260.000000,1.990000,8.160000,-166.500000
271.000000,2.040000,5.100000,-189.000000
282.000000,2.050000,1.020000,-193.500000
293.000000,2.030000,-2.040000,-184.500000
304.000000,1.990000,-4.080000,-166.500000
315.000000,1.930000,-5.100000,-144.000000
326.000000,1.860000,-6.120000,-117.000000
337.000000,1.800000,-6.120000,-90.000000
348.000000,1.740000,-5.100000,-67.500000
359.000000,1.670000,-6.120000,-40.500000
370.000000,1.620000,-5.100000,-18.000000
381.000000,1.560000,-5.100000,4.500000
392.000000,1.500000,-5.100000,27.000000
403.000000,1.460000,-4.080000,45.000000
414.000000,1.410000,-4.080000,63.000000
425.000000,1.380000,-3.060000,76.500000
436.000000,1.350000,-3.060000,90.000000
447.000000,1.320000,-2.040000,99.000000
458.000000,1.310000,-1.020000,103.500000
469.000000,1.300000,-1.020000,108.000000
480.000000,1.300000,0.000000,108.000000
491.000000,1.310000,1.020000,103.500000
502.000000,1.320000,1.020000,99.000000
513.000000,1.340000,1.020000,94.500000
524.000000,1.350000,1.020000,90.000000
535.000000,1.360000,1.020000,85.500000
546.000000,1.370000,1.020000,81.000000
557.000000,1.390000,2.040000,72.000000
568.000000,1.400000,1.020000,67.500000
579.000000,1.410000,1.020000,63.000000
590.000000,1.440000,2.040000,54.000000
601.000000,1.440000,0.000000,54.000000
612.000000,1.450000,1.020000,49.500000
623.000000,1.460000,1.020000,45.000000
634.000000,1.470000,1.020000,40.500000
645.000000,1.480000,1.020000,36.000000
656.000000,1.480000,0.000000,36.000000
667.000000,1.480000,0.000000,36.000000
678.000000,1.470000,-1.020000,40.500000
689.000000,1.470000,0.000000,40.500000
700.000000,1.470000,0.000000,40.500000
711.000000,1.470000,0.000000,40.500000
722.000000,1.470000,0.000000,40.500000
733.000000,1.470000,0.000000,40.500000
744.000000,1.470000,0.000000,40.500000
755.000000,1.470000,0.000000,40.500000
766.000000,1.470000,0.000000,40.500000
777.000000,1.470000,0.000000,40.500000
788.000000,1.470000,0.000000,40.500000
799.000000,1.470000,0.000000,40.500000
810.000000,1.470000,0.000000,40.500000
821.000000,1.470000,0.000000,40.500000
832.000000,1.470000,0.000000,40.500000
843.000000,1.470000,0.000000,40.500000
854.000000,1.470000,0.000000,40.500000
865.000000,1.470000,0.000000,40.500000
876.000000,1.470000,0.000000,40.500000
887.000000,1.470000,0.000000,40.500000
898.000000,1.470000,0.000000,40.500000
909.000000,1.470000,0.000000,40.500000
920.000000,1.470000,0.000000,40.500000
931.000000,1.470000,0.000000,40.500000
942.000000,1.470000,0.000000,40.500000
953.000000,1.470000,0.000000,40.500000
964.000000,1.470000,0.000000,40.500000
975.000000,1.470000,0.000000,40.500000
986.000000,1.470000,0.000000,40.500000
997.000000,1.470000,0.000000,40.500000
1008.000000,1.470000,0.000000,40.500000
1019.000000,1.470000,0.000000,40.500000
1030.000000,1.470000,0.000000,40.500000
1041.000000,1.470000,0.000000,40.500000
1052.000000,1.470000,0.000000,40.500000
1063.000000,1.470000,0.000000,40.500000
1074.000000,1.470000,0.000000,40.500000
1085.000000,1.470000,0.000000,40.500000
1096.000000,1.470000,0.000000,40.500000
1107.000000,1.470000,0.000000,40.500000
1118.000000,1.470000,0.000000,40.500000
1129.000000,1.470000,0.000000,40.500000
1140.000000,1.470000,0.000000,40.500000
1151.000000,1.470000,0.000000,40.500000
1162.000000,1.470000,0.000000,40.500000
1173.000000,1.470000,0.000000,40.500000
1184.000000,1.470000,0.000000,40.500000
1195.000000,1.470000,0.000000,40.500000
1206.000000,1.470000,0.000000,40.500000
1217.000000,1.470000,0.000000,40.500000
1228.000000,1.470000,0.000000,40.500000
1239.000000,1.470000,0.000000,40.500000
1250.000000,1.470000,0.000000,40.500000
1261.000000,1.470000,0.000000,40.500000
1272.000000,1.470000,0.000000,40.500000
1283.000000,1.470000,0.000000,40.500000
1294.000000,1.470000,0.000000,40.500000
1305.000000,1.470000,0.000000,40.500000
1316.000000,1.470000,0.000000,40.500000
1327.000000,1.470000,0.000000,40.500000
1338.000000,1.470000,0.000000,40.500000
1349.000000,1.470000,0.000000,40.500000
1360.000000,1.470000,0.000000,40.500000
1371.000000,1.470000,0.000000,40.500000
1382.000000,1.470000,0.000000,40.500000
1393.000000,1.470000,0.000000,40.500000
1404.000000,1.470000,0.000000,40.500000
1415.000000,1.470000,0.000000,40.500000
1426.000000,1.470000,0.000000,40.500000
1437.000000,1.470000,0.000000,40.500000
1448.000000,1.470000,0.000000,40.500000
1459.000000,1.470000,0.000000,40.500000
1470.000000,1.470000,0.000000,40.500000
1481.000000,1.470000,0.000000,40.500000
1492.000000,1.470000,0.000000,40.500000
1503.000000,1.470000,0.000000,40.500000
1514.000000,1.470000,0.000000,40.500000
1525.000000,1.470000,0.000000,40.500000
1536.000000,1.470000,0.000000,40.500000
1547.000000,1.470000,0.000000,40.500000
1558.000000,1.470000,0.000000,40.500000
1569.000000,1.470000,0.000000,40.500000
1580.000000,1.470000,0.000000,40.500000
1591.000000,1.470000,0.000000,40.500000
1602.000000,1.470000,0.000000,40.500000
1613.000000,1.470000,0.000000,40.500000
1624.000000,1.470000,0.000000,40.500000
1635.000000,1.470000,0.000000,40.500000
1646.000000,1.470000,0.000000,40.500000
1657.000000,1.470000,0.000000,40.500000
1668.000000,1.470000,0.000000,40.500000
1679.000000,1.470000,0.000000,40.500000
1690.000000,1.470000,0.000000,40.500000
1701.000000,1.470000,0.000000,40.500000
1712.000000,1.470000,0.000000,40.500000
1723.000000,1.470000,0.000000,40.500000
1734.000000,1.470000,0.000000,40.500000
1745.000000,1.470000,0.000000,40.500000
1756.000000,1.470000,0.000000,40.500000
1767.000000,1.470000,0.000000,40.500000
1778.000000,1.470000,0.000000,40.500000
1789.000000,1.470000,0.000000,40.500000
1800.000000,1.470000,0.000000,40.500000
1811.000000,1.470000,0.000000,40.500000
1822.000000,1.470000,0.000000,40.500000
1833.000000,1.470000,0.000000,40.500000
1844.000000,1.470000,0.000000,40.500000
1855.000000,1.470000,0.000000,40.500000
1866.000000,1.470000,0.000000,40.500000
1877.000000,1.470000,0.000000,40.500000
1888.000000,1.470000,0.000000,40.500000
1899.000000,1.470000,0.000000,40.500000
1910.000000,1.470000,0.000000,40.500000
1921.000000,1.470000,0.000000,40.500000
1932.000000,1.470000,0.000000,40.500000
1943.000000,1.470000,0.000000,40.500000
1954.000000,1.470000,0.000000,40.500000
1965.000000,1.470000,0.000000,40.500000
1976.000000,1.470000,0.000000,40.500000
1987.000000,1.470000,0.000000,40.500000
1998.000000,1.470000,0.000000,40.500000
2009.000000,1.470000,0.000000,40.500000
2020.000000,1.470000,0.000000,40.500000
2031.000000,1.470000,0.000000,40.500000
2042.000000,1.470000,0.000000,40.500000
2053.000000,1.470000,0.000000,40.500000
2064.000000,1.470000,0.000000,40.500000
2075.000000,1.470000,0.000000,40.500000
2086.000000,1.470000,0.000000,40.500000
2097.000000,1.470000,0.000000,40.500000
2108.000000,1.470000,0.000000,40.500000
2119.000000,1.470000,0.000000,40.500000
2130.000000,1.470000,0.000000,40.500000
2141.000000,1.470000,0.000000,40.500000
2152.000000,1.470000,0.000000,40.500000
2163.000000,1.470000,0.000000,40.500000
2174.000000,1.470000,0.000000,40.500000
2185.000000,1.470000,0.000000,40.500000
2196.000000,1.470000,0.000000,40.500000
2207.000000,1.470000,0.000000,40.500000
2218.000000,1.470000,0.000000,40.500000
2229.000000,1.470000,0.000000,40.500000
2240.000000,1.470000,0.000000,40.500000
2251.000000,1.470000,0.000000,40.500000
2262.000000,1.470000,0.000000,40.500000
2273.000000,1.470000,0.000000,40.500000
2284.000000,1.470000,0.000000,40.500000
2295.000000,1.470000,0.000000,40.500000
2306.000000,1.470000,0.000000,40.500000
2317.000000,1.470000,0.000000,40.500000
2328.000000,1.470000,0.000000,40.500000
2339.000000,1.470000,0.000000,40.500000
2350.000000,1.470000,0.000000,40.500000
2361.000000,1.470000,0.000000,40.500000
