time,angle,velocity
4662652,29.50,11.22
4672652,29.62,12.34
4682652,29.74,12.34
4692652,29.87,12.34
4702652,29.99,12.34
4712652,30.11,12.34
4722652,30.25,13.46
4732652,30.37,12.34
4742652,30.50,12.34
4752652,30.63,13.46
4762652,30.74,11.22
4772652,30.87,12.34
4782652,30.99,12.34
4792652,31.10,11.22
4802652,31.23,12.34
4812652,31.34,11.22
4822652,31.45,11.22
4832652,31.57,12.34
4842652,31.69,11.22
4852652,31.80,11.22
4862652,31.92,12.34
4872652,32.04,12.34
4882652,32.16,11.22
4892652,32.28,12.34
4902652,32.40,12.34
4912652,32.53,12.34
4922652,32.65,12.34
4932652,32.77,12.34
4942652,32.90,12.34
4952652,33.02,12.34
4962652,33.14,12.34
4972652,33.27,12.34
4982652,33.39,12.34
4992652,33.51,12.34
5002652,33.64,12.34
5012652,33.76,12.34
5022652,33.88,12.34
5032652,34.00,11.22
5042652,34.12,12.34
5052652,34.24,12.34
5062652,34.36,11.22
5072652,34.48,12.34
5082652,34.60,12.34
5092652,34.71,11.22
5102652,34.84,12.34
5112652,34.95,11.22
5122652,35.07,12.34
5132652,35.19,11.22
5142652,35.30,11.22
5152652,35.41,11.22
5162652,35.52,11.22
5172652,35.63,11.22
5182652,35.75,11.22
5192652,35.87,12.34
5202652,35.99,12.34
5212652,36.12,12.34
5222652,36.24,12.34
5232652,36.36,12.34
5242652,36.50,13.46
5252652,36.62,12.34
5262652,36.75,12.34
5272652,36.87,12.34
5282652,36.99,12.34
5292652,37.12,12.34
5302652,37.24,12.34
5312652,37.35,11.22
5322652,37.47,12.34
5332652,37.59,11.22
5342652,37.70,11.22
5352652,37.81,11.22
5362652,37.93,12.34
5372652,38.05,11.22
5382652,38.17,12.34
5392652,38.28,11.22
5402652,38.41,12.34
5412652,38.53,12.34
5422655,38.65,12.34
5432652,38.78,12.35
5442652,38.89,11.22
5452652,39.02,13.46
5462651,39.15,12.34
5472652,39.27,12.34
5482652,39.39,12.34
5492652,39.52,12.34
5502652,39.64,12.34
5512652,39.76,12.34
5522652,39.88,11.22
5532652,40.00,12.34
5542652,40.12,12.34
5552652,40.25,12.34
5562652,40.37,12.34
5572652,40.48,11.22
5582652,40.61,12.34
5592652,40.73,12.34
5602652,40.84,11.22
5612652,40.96,12.34
5622652,41.09,12.34
5632652,41.20,11.22
5642652,41.31,11.22
5652652,41.42,11.22
5662652,41.54,11.22
5672652,41.66,12.34
5682652,41.77,11.22
5692652,41.88,11.22
5702652,42.00,11.22
5712652,42.12,12.34
5722652,42.23,11.22
5732652,42.37,13.46
5742652,42.49,12.34
5752652,42.61,12.34
5762652,42.74,12.34
5772652,42.87,13.46
5782652,42.99,12.34
5792652,43.12,12.34
5802652,43.24,12.34
5812652,43.37,12.34
5822652,43.49,12.34
5832652,43.60,11.22
5842652,43.72,12.34
5852652,43.84,11.22
5862652,43.96,12.34
5872652,44.07,11.22
5882652,44.18,11.22
5892652,44.30,11.22
5902652,44.42,12.34
5912652,44.54,12.34
5922652,44.66,11.22
5932652,44.78,12.34
5942652,44.90,12.34
5952652,45.03,12.34
5962652,45.15,12.34
5972652,45.27,12.34
5982652,45.40,12.34
5992652,45.52,12.34
6002652,45.64,12.34
6012652,45.77,12.34
6022652,45.89,12.34
6032652,46.01,12.34
6042652,46.14,12.34
6052652,46.25,11.22
6062652,46.37,12.34
6072652,46.50,12.34
6082652,46.62,12.34
6092652,46.74,12.34
6102652,46.85,11.22
6112652,46.98,12.34
6122652,47.10,12.34
6132652,47.21,11.22
6142652,47.34,12.34
6152652,47.45,11.22
6162652,47.57,12.34
6172652,47.68,11.22
6182652,47.80,11.22
6192652,47.91,11.22
6202652,48.02,11.22
